sep=;
Nama;Kategori;Harga Beli;Harga Jual;Stok;Stok Minimum;Satuan;SKU;Barcode
Tali Rasa-3 V588;Lain-lain;35708;38919;152;23;ml;LAI-0588;8990000000588
Pemutih Rasa-4 V589;Rumahan;35792;39056;205;4;pcs;RUM-0589;8990000000589
Otak-otak Rasa-5 V590;Beku;35876;39193;18;10;kg;BEK-0590;8990000000590
Indomie Goreng V591;Makanan;35960;39330;71;16;ml;MAK-0591;8990000000591
Teh Kotak Rasa-7 V592;Minuman;36044;39467;124;22;pcs;MIN-0592;8990000000592
Biskuit 150g Rasa-8 V593;Snack;36128;39604;177;3;kg;SNA-0593;8990000000593
Kecap Asin Rasa-9 V594;Bumbu;36212;39741;230;9;ml;BUM-0594;8990000000594
Minyak Goreng 2L Rasa-1 V595;Sembako;36296;39878;43;15;pcs;SEM-0595;8990000000595
Susu UHT Vanila V596;Susu;36380;40015;96;21;kg;SUS-0596;8990000000596
Sikat Gigi Rasa-3 V597;Perawatan;36464;40152;149;2;ml;PER-0597;8990000000597
Tali Rasa-4 V598;Lain-lain;36548;40289;202;8;pcs;LAI-0598;8990000000598
Pemutih Rasa-5 V599;Rumahan;36632;40426;15;14;kg;RUM-0599;8990000000599
Otak-otak Rasa-6 V600;Beku;36716;40563;68;20;ml;BEK-0600;8990000000600
Indomie Goreng V601;Makanan;36800;40700;121;1;pcs;MAK-0601;8990000000601
Teh Kotak Rasa-8 V602;Minuman;36884;40837;174;7;kg;MIN-0602;8990000000602
Biskuit 150g Rasa-9 V603;Snack;36968;40974;227;13;ml;SNA-0603;8990000000603
Kecap Asin Rasa-1 V604;Bumbu;37052;41111;40;19;pcs;BUM-0604;8990000000604
Minyak Goreng 2L Rasa-2 V605;Sembako;41136;41248;93;25;kg;SEM-0605;8990000000605
Susu UHT Vanila V606;Susu;41220;41385;146;6;ml;SUS-0606;8990000000606
Sikat Gigi Rasa-4 V607;Perawatan;41304;41522;199;12;pcs;PER-0607;8990000000607
Tali Rasa-5 V608;Lain-lain;41388;41659;12;18;kg;LAI-0608;8990000000608
Pemutih Rasa-6 V609;Rumahan;41472;41796;65;24;ml;RUM-0609;8990000000609
Otak-otak Rasa-7 V610;Beku;41556;41933;118;5;pcs;BEK-0610;8990000000610
Indomie Goreng V611;Makanan;41640;42070;171;11;kg;MAK-0611;8990000000611
Teh Kotak Rasa-9 V612;Minuman;41724;42207;224;17;ml;MIN-0612;8990000000612
Biskuit 150g Rasa-1 V613;Snack;41808;42344;37;23;pcs;SNA-0613;8990000000613
Kecap Asin Rasa-2 V614;Bumbu;41892;42481;90;4;kg;BUM-0614;8990000000614
Minyak Goreng 2L Rasa-3 V615;Sembako;41976;42618;143;10;ml;SEM-0615;8990000000615
Susu UHT Vanila V616;Susu;42060;42755;196;16;pcs;SUS-0616;8990000000616
Sikat Gigi Rasa-5 V617;Perawatan;42144;42892;9;22;kg;PER-0617;8990000000617
Tali Rasa-6 V618;Lain-lain;42228;43029;62;3;ml;LAI-0618;8990000000618
Pemutih Rasa-7 V619;Rumahan;42312;43166;115;9;pcs;RUM-0619;8990000000619
Otak-otak Rasa-8 V620;Beku;42396;43303;168;15;kg;BEK-0620;8990000000620
Indomie Goreng V621;Makanan;42480;43440;221;21;ml;MAK-0621;8990000000621
Teh Kotak Rasa-1 V622;Minuman;42564;43577;34;2;pcs;MIN-0622;8990000000622
Biskuit 150g Rasa-2 V623;Snack;42648;43714;87;8;kg;SNA-0623;8990000000623
Kecap Asin Rasa-3 V624;Bumbu;42732;43851;140;14;ml;BUM-0624;8990000000624
Minyak Goreng 2L Rasa-4 V625;Sembako;42816;43988;193;20;pcs;SEM-0625;8990000000625
Susu UHT Vanila V626;Susu;42900;44125;6;1;kg;SUS-0626;8990000000626
Sikat Gigi Rasa-6 V627;Perawatan;42984;44262;59;7;ml;PER-0627;8990000000627
Tali Rasa-7 V628;Lain-lain;43068;44399;112;13;pcs;LAI-0628;8990000000628
Pemutih Rasa-8 V629;Rumahan;400;1536;165;19;kg;RUM-0629;8990000000629
Otak-otak Rasa-9 V630;Beku;400;1673;218;25;ml;BEK-0630;8990000000630
Indomie Goreng V631;Makanan;400;1810;31;6;pcs;MAK-0631;8990000000631
Teh Kotak Rasa-2 V632;Minuman;404;1947;84;12;kg;MIN-0632;8990000000632
Biskuit 150g Rasa-3 V633;Snack;488;2084;137;18;ml;SNA-0633;8990000000633
Kecap Asin Rasa-4 V634;Bumbu;572;2221;190;24;pcs;BUM-0634;8990000000634
Minyak Goreng 2L Rasa-5 V635;Sembako;656;2358;3;5;kg;SEM-0635;8990000000635
Susu UHT Vanila V636;Susu;740;2495;56;11;ml;SUS-0636;8990000000636
Sikat Gigi Rasa-7 V637;Perawatan;824;2632;109;17;pcs;PER-0637;8990000000637
Tali Rasa-8 V638;Lain-lain;908;2769;162;23;kg;LAI-0638;8990000000638
Pemutih Rasa-9 V639;Rumahan;992;2906;215;4;ml;RUM-0639;8990000000639
Otak-otak Rasa-1 V640;Beku;1076;3043;28;10;pcs;BEK-0640;8990000000640
Indomie Goreng V641;Makanan;1160;3180;81;16;kg;MAK-0641;8990000000641
Teh Kotak Rasa-3 V642;Minuman;1244;3317;134;22;ml;MIN-0642;8990000000642
Biskuit 150g Rasa-4 V643;Snack;1328;3454;187;3;pcs;SNA-0643;8990000000643
Kecap Asin Rasa-5 V644;Bumbu;1412;3591;240;9;kg;BUM-0644;8990000000644
Minyak Goreng 2L Rasa-6 V645;Sembako;1496;3728;53;15;ml;SEM-0645;8990000000645
Susu UHT Vanila V646;Susu;1580;3865;106;21;pcs;SUS-0646;8990000000646
Sikat Gigi Rasa-8 V647;Perawatan;1664;4002;159;2;kg;PER-0647;8990000000647
Tali Rasa-9 V648;Lain-lain;1748;4139;212;8;ml;LAI-0648;8990000000648
Pemutih Rasa-1 V649;Rumahan;1832;4276;25;14;pcs;RUM-0649;8990000000649
Otak-otak Rasa-2 V650;Beku;1916;4413;78;20;kg;BEK-0650;8990000000650
Indomie Goreng V651;Makanan;2000;4550;131;1;ml;MAK-0651;8990000000651
Teh Kotak Rasa-4 V652;Minuman;2084;4687;184;7;pcs;MIN-0652;8990000000652
Biskuit 150g Rasa-5 V653;Snack;2168;4824;237;13;kg;SNA-0653;8990000000653
Kecap Asin Rasa-6 V654;Bumbu;2252;4961;50;19;ml;BUM-0654;8990000000654
Minyak Goreng 2L Rasa-7 V655;Sembako;2336;5098;103;25;pcs;SEM-0655;8990000000655
Susu UHT Vanila V656;Susu;2420;5235;156;6;kg;SUS-0656;8990000000656
Sikat Gigi Rasa-9 V657;Perawatan;2504;5372;209;12;ml;PER-0657;8990000000657
Tali Rasa-1 V658;Lain-lain;2588;5509;22;18;pcs;LAI-0658;8990000000658
Pemutih Rasa-2 V659;Rumahan;2672;5646;75;24;kg;RUM-0659;8990000000659
Otak-otak Rasa-3 V660;Beku;2756;5783;128;5;ml;BEK-0660;8990000000660
Indomie Goreng V661;Makanan;2840;5920;181;11;pcs;MAK-0661;8990000000661
Teh Kotak Rasa-5 V662;Minuman;2924;6057;234;17;kg;MIN-0662;8990000000662
Biskuit 150g Rasa-6 V663;Snack;3008;6194;47;23;ml;SNA-0663;8990000000663
Kecap Asin Rasa-7 V664;Bumbu;3092;6331;100;4;pcs;BUM-0664;8990000000664
Minyak Goreng 2L Rasa-8 V665;Sembako;3176;6468;153;10;kg;SEM-0665;8990000000665
Susu UHT Vanila V666;Susu;3260;6605;206;16;ml;SUS-0666;8990000000666
Sikat Gigi Rasa-1 V667;Perawatan;3344;6742;19;22;pcs;PER-0667;8990000000667
Tali Rasa-2 V668;Lain-lain;3428;6879;72;3;kg;LAI-0668;8990000000668
Pemutih Rasa-3 V669;Rumahan;3512;7016;125;9;ml;RUM-0669;8990000000669
Otak-otak Rasa-4 V670;Beku;3596;7153;178;15;pcs;BEK-0670;8990000000670
Indomie Goreng V671;Makanan;3680;7290;231;21;kg;MAK-0671;8990000000671
Teh Kotak Rasa-6 V672;Minuman;3764;7427;44;2;ml;MIN-0672;8990000000672
Biskuit 150g Rasa-7 V673;Snack;3848;7564;97;8;pcs;SNA-0673;8990000000673
Kecap Asin Rasa-8 V674;Bumbu;3932;7701;150;14;kg;BUM-0674;8990000000674
Minyak Goreng 2L Rasa-9 V675;Sembako;4016;7838;203;20;ml;SEM-0675;8990000000675
Susu UHT Vanila V676;Susu;4100;7975;16;1;pcs;SUS-0676;8990000000676
Sikat Gigi Rasa-2 V677;Perawatan;4184;8112;69;7;kg;PER-0677;8990000000677
Tali Rasa-3 V678;Lain-lain;4268;8249;122;13;ml;LAI-0678;8990000000678
Pemutih Rasa-4 V679;Rumahan;4352;8386;175;19;pcs;RUM-0679;8990000000679
Otak-otak Rasa-5 V680;Beku;4436;8523;228;25;kg;BEK-0680;8990000000680
Indomie Goreng V681;Makanan;8520;8660;41;6;ml;MAK-0681;8990000000681
Teh Kotak Rasa-7 V682;Minuman;8604;8797;94;12;pcs;MIN-0682;8990000000682
Biskuit 150g Rasa-8 V683;Snack;8688;8934;147;18;kg;SNA-0683;8990000000683
Kecap Asin Rasa-9 V684;Bumbu;8772;9071;200;24;ml;BUM-0684;8990000000684
Minyak Goreng 2L Rasa-1 V685;Sembako;8856;9208;13;5;pcs;SEM-0685;8990000000685
Susu UHT Vanila V686;Susu;8940;9345;66;11;kg;SUS-0686;8990000000686
Sikat Gigi Rasa-3 V687;Perawatan;9024;9482;119;17;ml;PER-0687;8990000000687
Tali Rasa-4 V688;Lain-lain;9108;9619;172;23;pcs;LAI-0688;8990000000688
Pemutih Rasa-5 V689;Rumahan;9192;9756;225;4;kg;RUM-0689;8990000000689
Otak-otak Rasa-6 V690;Beku;9276;9893;38;10;ml;BEK-0690;8990000000690
Indomie Goreng V691;Makanan;9360;10030;91;16;pcs;MAK-0691;8990000000691
Teh Kotak Rasa-8 V692;Minuman;9444;10167;144;22;kg;MIN-0692;8990000000692
Biskuit 150g Rasa-9 V693;Snack;9528;10304;197;3;ml;SNA-0693;8990000000693
Kecap Asin Rasa-1 V694;Bumbu;9612;10441;10;9;pcs;BUM-0694;8990000000694
Minyak Goreng 2L Rasa-2 V695;Sembako;9696;10578;63;15;kg;SEM-0695;8990000000695
Susu UHT Vanila V696;Susu;9780;10715;116;21;ml;SUS-0696;8990000000696
Sikat Gigi Rasa-4 V697;Perawatan;9864;10852;169;2;pcs;PER-0697;8990000000697
Tali Rasa-5 V698;Lain-lain;9948;10989;222;8;kg;LAI-0698;8990000000698
Pemutih Rasa-6 V699;Rumahan;10032;11126;35;14;ml;RUM-0699;8990000000699
Otak-otak Rasa-7 V700;Beku;10116;11263;88;20;pcs;BEK-0700;8990000000700
Indomie Goreng V701;Makanan;10200;11400;141;1;kg;MAK-0701;8990000000701
Teh Kotak Rasa-9 V702;Minuman;10284;11537;194;7;ml;MIN-0702;8990000000702
Biskuit 150g Rasa-1 V703;Snack;10368;11674;7;13;pcs;SNA-0703;8990000000703
Kecap Asin Rasa-2 V704;Bumbu;10452;11811;60;19;kg;BUM-0704;8990000000704
Minyak Goreng 2L Rasa-3 V705;Sembako;10536;11948;113;25;ml;SEM-0705;8990000000705
Susu UHT Vanila V706;Susu;10620;12085;166;6;pcs;SUS-0706;8990000000706
Sikat Gigi Rasa-5 V707;Perawatan;10704;12222;219;12;kg;PER-0707;8990000000707
Tali Rasa-6 V708;Lain-lain;10788;12359;32;18;ml;LAI-0708;8990000000708
Pemutih Rasa-7 V709;Rumahan;10872;12496;85;24;pcs;RUM-0709;8990000000709
Otak-otak Rasa-8 V710;Beku;10956;12633;138;5;kg;BEK-0710;8990000000710
Indomie Goreng V711;Makanan;11040;12770;191;11;ml;MAK-0711;8990000000711
Teh Kotak Rasa-1 V712;Minuman;11124;12907;4;17;pcs;MIN-0712;8990000000712
Biskuit 150g Rasa-2 V713;Snack;11208;13044;57;23;kg;SNA-0713;8990000000713
Kecap Asin Rasa-3 V714;Bumbu;11292;13181;110;4;ml;BUM-0714;8990000000714
Minyak Goreng 2L Rasa-4 V715;Sembako;11376;13318;163;10;pcs;SEM-0715;8990000000715
Susu UHT Vanila V716;Susu;11460;13455;216;16;kg;SUS-0716;8990000000716
Sikat Gigi Rasa-6 V717;Perawatan;11544;13592;29;22;ml;PER-0717;8990000000717
Tali Rasa-7 V718;Lain-lain;11628;13729;82;3;pcs;LAI-0718;8990000000718
Pemutih Rasa-8 V719;Rumahan;11712;13866;135;9;kg;RUM-0719;8990000000719
Otak-otak Rasa-9 V720;Beku;11796;14003;188;15;ml;BEK-0720;8990000000720
Indomie Goreng V721;Makanan;11880;14140;1;21;pcs;MAK-0721;8990000000721
Teh Kotak Rasa-2 V722;Minuman;11964;14277;54;2;kg;MIN-0722;8990000000722
Biskuit 150g Rasa-3 V723;Snack;12048;14414;107;8;ml;SNA-0723;8990000000723
Kecap Asin Rasa-4 V724;Bumbu;12132;14551;160;14;pcs;BUM-0724;8990000000724
Minyak Goreng 2L Rasa-5 V725;Sembako;12216;14688;213;20;kg;SEM-0725;8990000000725
Susu UHT Vanila V726;Susu;12300;14825;26;1;ml;SUS-0726;8990000000726
Sikat Gigi Rasa-7 V727;Perawatan;12384;14962;79;7;pcs;PER-0727;8990000000727
Tali Rasa-8 V728;Lain-lain;12468;15099;132;13;kg;LAI-0728;8990000000728
Pemutih Rasa-9 V729;Rumahan;12552;15236;185;19;ml;RUM-0729;8990000000729
Otak-otak Rasa-1 V730;Beku;12636;15373;238;25;pcs;BEK-0730;8990000000730
Indomie Goreng V731;Makanan;12720;15510;51;6;kg;MAK-0731;8990000000731
Teh Kotak Rasa-3 V732;Minuman;12804;15647;104;12;ml;MIN-0732;8990000000732
Biskuit 150g Rasa-4 V733;Snack;12888;15784;157;18;pcs;SNA-0733;8990000000733
Kecap Asin Rasa-5 V734;Bumbu;12972;15921;210;24;kg;BUM-0734;8990000000734
Minyak Goreng 2L Rasa-6 V735;Sembako;13056;16058;23;5;ml;SEM-0735;8990000000735
Susu UHT Vanila V736;Susu;13140;16195;76;11;pcs;SUS-0736;8990000000736
Sikat Gigi Rasa-8 V737;Perawatan;13224;16332;129;17;kg;PER-0737;8990000000737
Tali Rasa-9 V738;Lain-lain;13308;16469;182;23;ml;LAI-0738;8990000000738
Pemutih Rasa-1 V739;Rumahan;13392;16606;235;4;pcs;RUM-0739;8990000000739
Otak-otak Rasa-2 V740;Beku;13476;16743;48;10;kg;BEK-0740;8990000000740
Indomie Goreng V741;Makanan;13560;16880;101;16;ml;MAK-0741;8990000000741
Teh Kotak Rasa-4 V742;Minuman;13644;17017;154;22;pcs;MIN-0742;8990000000742
Biskuit 150g Rasa-5 V743;Snack;13728;17154;207;3;kg;SNA-0743;8990000000743
Kecap Asin Rasa-6 V744;Bumbu;13812;17291;20;9;ml;BUM-0744;8990000000744
Minyak Goreng 2L Rasa-7 V745;Sembako;13896;17428;73;15;pcs;SEM-0745;8990000000745
Susu UHT Vanila V746;Susu;13980;17565;126;21;kg;SUS-0746;8990000000746
Sikat Gigi Rasa-9 V747;Perawatan;14064;17702;179;2;ml;PER-0747;8990000000747
Tali Rasa-1 V748;Lain-lain;14148;17839;232;8;pcs;LAI-0748;8990000000748
Pemutih Rasa-2 V749;Rumahan;14232;17976;45;14;kg;RUM-0749;8990000000749
Otak-otak Rasa-3 V750;Beku;14316;18113;98;20;ml;BEK-0750;8990000000750
Indomie Goreng V751;Makanan;14400;18250;151;1;pcs;MAK-0751;8990000000751
Teh Kotak Rasa-5 V752;Minuman;14484;18387;204;7;kg;MIN-0752;8990000000752
Biskuit 150g Rasa-6 V753;Snack;14568;18524;17;13;ml;SNA-0753;8990000000753
Kecap Asin Rasa-7 V754;Bumbu;14652;18661;70;19;pcs;BUM-0754;8990000000754
Minyak Goreng 2L Rasa-8 V755;Sembako;14736;18798;123;25;kg;SEM-0755;8990000000755
Susu UHT Vanila V756;Susu;18820;18935;176;6;ml;SUS-0756;8990000000756
Sikat Gigi Rasa-1 V757;Perawatan;18904;19072;229;12;pcs;PER-0757;8990000000757
Tali Rasa-2 V758;Lain-lain;18988;19209;42;18;kg;LAI-0758;8990000000758
Pemutih Rasa-3 V759;Rumahan;19072;19346;95;24;ml;RUM-0759;8990000000759
Otak-otak Rasa-4 V760;Beku;19156;19483;148;5;pcs;BEK-0760;8990000000760
Indomie Goreng V761;Makanan;19240;19620;201;11;kg;MAK-0761;8990000000761
Teh Kotak Rasa-6 V762;Minuman;19324;19757;14;17;ml;MIN-0762;8990000000762
Biskuit 150g Rasa-7 V763;Snack;19408;19894;67;23;pcs;SNA-0763;8990000000763
Kecap Asin Rasa-8 V764;Bumbu;19492;20031;120;4;kg;BUM-0764;8990000000764
Minyak Goreng 2L Rasa-9 V765;Sembako;19576;20168;173;10;ml;SEM-0765;8990000000765
Susu UHT Vanila V766;Susu;19660;20305;226;16;pcs;SUS-0766;8990000000766
Sikat Gigi Rasa-2 V767;Perawatan;19744;20442;39;22;kg;PER-0767;8990000000767
Tali Rasa-3 V768;Lain-lain;19828;20579;92;3;ml;LAI-0768;8990000000768
Pemutih Rasa-4 V769;Rumahan;19912;20716;145;9;pcs;RUM-0769;8990000000769
Otak-otak Rasa-5 V770;Beku;19996;20853;198;15;kg;BEK-0770;8990000000770
Indomie Goreng V771;Makanan;20080;20990;11;21;ml;MAK-0771;8990000000771
Teh Kotak Rasa-7 V772;Minuman;20164;21127;64;2;pcs;MIN-0772;8990000000772
Biskuit 150g Rasa-8 V773;Snack;20248;21264;117;8;kg;SNA-0773;8990000000773
Kecap Asin Rasa-9 V774;Bumbu;20332;21401;170;14;ml;BUM-0774;8990000000774
Minyak Goreng 2L Rasa-1 V775;Sembako;20416;21538;223;20;pcs;SEM-0775;8990000000775
Susu UHT Vanila V776;Susu;20500;21675;36;1;kg;SUS-0776;8990000000776
Sikat Gigi Rasa-3 V777;Perawatan;20584;21812;89;7;ml;PER-0777;8990000000777
Tali Rasa-4 V778;Lain-lain;20668;21949;142;13;pcs;LAI-0778;8990000000778
Pemutih Rasa-5 V779;Rumahan;20752;22086;195;19;kg;RUM-0779;8990000000779
Otak-otak Rasa-6 V780;Beku;20836;22223;8;25;ml;BEK-0780;8990000000780
Indomie Goreng V781;Makanan;20920;22360;61;6;pcs;MAK-0781;8990000000781
Teh Kotak Rasa-8 V782;Minuman;21004;22497;114;12;kg;MIN-0782;8990000000782
Biskuit 150g Rasa-9 V783;Snack;21088;22634;167;18;ml;SNA-0783;8990000000783
Kecap Asin Rasa-1 V784;Bumbu;21172;22771;220;24;pcs;BUM-0784;8990000000784
Minyak Goreng 2L Rasa-2 V785;Sembako;21256;22908;33;5;kg;SEM-0785;8990000000785
Susu UHT Vanila V786;Susu;21340;23045;86;11;ml;SUS-0786;8990000000786
Sikat Gigi Rasa-4 V787;Perawatan;21424;23182;139;17;pcs;PER-0787;8990000000787
Tali Rasa-5 V788;Lain-lain;21508;23319;192;23;kg;LAI-0788;8990000000788
Pemutih Rasa-6 V789;Rumahan;21592;23456;5;4;ml;RUM-0789;8990000000789
Otak-otak Rasa-7 V790;Beku;21676;23593;58;10;pcs;BEK-0790;8990000000790
Indomie Goreng V791;Makanan;21760;23730;111;16;kg;MAK-0791;8990000000791
Teh Kotak Rasa-9 V792;Minuman;21844;23867;164;22;ml;MIN-0792;8990000000792
Biskuit 150g Rasa-1 V793;Snack;21928;24004;217;3;pcs;SNA-0793;8990000000793
Kecap Asin Rasa-2 V794;Bumbu;22012;24141;30;9;kg;BUM-0794;8990000000794
Minyak Goreng 2L Rasa-3 V795;Sembako;22096;24278;83;15;ml;SEM-0795;8990000000795
Susu UHT Vanila V796;Susu;22180;24415;136;21;pcs;SUS-0796;8990000000796
Sikat Gigi Rasa-5 V797;Perawatan;22264;24552;189;2;kg;PER-0797;8990000000797
Tali Rasa-6 V798;Lain-lain;22348;24689;2;8;ml;LAI-0798;8990000000798
Pemutih Rasa-7 V799;Rumahan;22432;24826;55;14;pcs;RUM-0799;8990000000799
Otak-otak Rasa-8 V800;Beku;22516;24963;108;20;kg;BEK-0800;8990000000800
Indomie Goreng V801;Makanan;22600;25100;161;1;ml;MAK-0801;8990000000801
Teh Kotak Rasa-1 V802;Minuman;22684;25237;214;7;pcs;MIN-0802;8990000000802
Biskuit 150g Rasa-2 V803;Snack;22768;25374;27;13;kg;SNA-0803;8990000000803
Kecap Asin Rasa-3 V804;Bumbu;22852;25511;80;19;ml;BUM-0804;8990000000804
Minyak Goreng 2L Rasa-4 V805;Sembako;22936;25648;133;25;pcs;SEM-0805;8990000000805
Susu UHT Vanila V806;Susu;23020;25785;186;6;kg;SUS-0806;8990000000806
Sikat Gigi Rasa-6 V807;Perawatan;23104;25922;239;12;ml;PER-0807;8990000000807
Tali Rasa-7 V808;Lain-lain;23188;26059;52;18;pcs;LAI-0808;8990000000808
Pemutih Rasa-8 V809;Rumahan;23272;26196;105;24;kg;RUM-0809;8990000000809
Otak-otak Rasa-9 V810;Beku;23356;26333;158;5;ml;BEK-0810;8990000000810
Indomie Goreng V811;Makanan;23440;26470;211;11;pcs;MAK-0811;8990000000811
Teh Kotak Rasa-2 V812;Minuman;23524;26607;24;17;kg;MIN-0812;8990000000812
Biskuit 150g Rasa-3 V813;Snack;23608;26744;77;23;ml;SNA-0813;8990000000813
Kecap Asin Rasa-4 V814;Bumbu;23692;26881;130;4;pcs;BUM-0814;8990000000814
Minyak Goreng 2L Rasa-5 V815;Sembako;23776;27018;183;10;kg;SEM-0815;8990000000815
Susu UHT Vanila V816;Susu;23860;27155;236;16;ml;SUS-0816;8990000000816
Sikat Gigi Rasa-7 V817;Perawatan;23944;27292;49;22;pcs;PER-0817;8990000000817
Tali Rasa-8 V818;Lain-lain;24028;27429;102;3;kg;LAI-0818;8990000000818
Pemutih Rasa-9 V819;Rumahan;24112;27566;155;9;ml;RUM-0819;8990000000819
Otak-otak Rasa-1 V820;Beku;24196;27703;208;15;pcs;BEK-0820;8990000000820
Indomie Goreng V821;Makanan;24280;27840;21;21;kg;MAK-0821;8990000000821
Teh Kotak Rasa-3 V822;Minuman;24364;27977;74;2;ml;MIN-0822;8990000000822
Biskuit 150g Rasa-4 V823;Snack;24448;28114;127;8;pcs;SNA-0823;8990000000823
Kecap Asin Rasa-5 V824;Bumbu;24532;28251;180;14;kg;BUM-0824;8990000000824
Minyak Goreng 2L Rasa-6 V825;Sembako;24616;28388;233;20;ml;SEM-0825;8990000000825
Susu UHT Vanila V826;Susu;24700;28525;46;1;pcs;SUS-0826;8990000000826
Sikat Gigi Rasa-8 V827;Perawatan;24784;28662;99;7;kg;PER-0827;8990000000827
Tali Rasa-9 V828;Lain-lain;24868;28799;152;13;ml;LAI-0828;8990000000828
Pemutih Rasa-1 V829;Rumahan;24952;28936;205;19;pcs;RUM-0829;8990000000829
Otak-otak Rasa-2 V830;Beku;25036;29073;18;25;kg;BEK-0830;8990000000830
Indomie Goreng V831;Makanan;25120;29210;71;6;ml;MAK-0831;8990000000831
Teh Kotak Rasa-4 V832;Minuman;29204;29347;124;12;pcs;MIN-0832;8990000000832
Biskuit 150g Rasa-5 V833;Snack;29288;29484;177;18;kg;SNA-0833;8990000000833
Kecap Asin Rasa-6 V834;Bumbu;29372;29621;230;24;ml;BUM-0834;8990000000834
Minyak Goreng 2L Rasa-7 V835;Sembako;29456;29758;43;5;pcs;SEM-0835;8990000000835
Susu UHT Vanila V836;Susu;29540;29895;96;11;kg;SUS-0836;8990000000836
Sikat Gigi Rasa-9 V837;Perawatan;29624;30032;149;17;ml;PER-0837;8990000000837
Tali Rasa-1 V838;Lain-lain;29708;30169;202;23;pcs;LAI-0838;8990000000838
Pemutih Rasa-2 V839;Rumahan;29792;30306;15;4;kg;RUM-0839;8990000000839
Otak-otak Rasa-3 V840;Beku;29876;30443;68;10;ml;BEK-0840;8990000000840
Indomie Goreng V841;Makanan;29960;30580;121;16;pcs;MAK-0841;8990000000841
Teh Kotak Rasa-5 V842;Minuman;30044;30717;174;22;kg;MIN-0842;8990000000842
Biskuit 150g Rasa-6 V843;Snack;30128;30854;227;3;ml;SNA-0843;8990000000843
Kecap Asin Rasa-7 V844;Bumbu;30212;30991;40;9;pcs;BUM-0844;8990000000844
Minyak Goreng 2L Rasa-8 V845;Sembako;30296;31128;93;15;kg;SEM-0845;8990000000845
Susu UHT Vanila V846;Susu;30380;31265;146;21;ml;SUS-0846;8990000000846
Sikat Gigi Rasa-1 V847;Perawatan;30464;31402;199;2;pcs;PER-0847;8990000000847
Tali Rasa-2 V848;Lain-lain;30548;31539;12;8;kg;LAI-0848;8990000000848
Pemutih Rasa-3 V849;Rumahan;30632;31676;65;14;ml;RUM-0849;8990000000849
Otak-otak Rasa-4 V850;Beku;30716;31813;118;20;pcs;BEK-0850;8990000000850
Indomie Goreng V851;Makanan;30800;31950;171;1;kg;MAK-0851;8990000000851
Teh Kotak Rasa-6 V852;Minuman;30884;32087;224;7;ml;MIN-0852;8990000000852
Biskuit 150g Rasa-7 V853;Snack;30968;32224;37;13;pcs;SNA-0853;8990000000853
Kecap Asin Rasa-8 V854;Bumbu;31052;32361;90;19;kg;BUM-0854;8990000000854
Minyak Goreng 2L Rasa-9 V855;Sembako;31136;32498;143;25;ml;SEM-0855;8990000000855
Susu UHT Vanila V856;Susu;31220;32635;196;6;pcs;SUS-0856;8990000000856
Sikat Gigi Rasa-2 V857;Perawatan;31304;32772;9;12;kg;PER-0857;8990000000857
Tali Rasa-3 V858;Lain-lain;31388;32909;62;18;ml;LAI-0858;8990000000858
Pemutih Rasa-4 V859;Rumahan;31472;33046;115;24;pcs;RUM-0859;8990000000859
Otak-otak Rasa-5 V860;Beku;31556;33183;168;5;kg;BEK-0860;8990000000860
Indomie Goreng V861;Makanan;31640;33320;221;11;ml;MAK-0861;8990000000861
Teh Kotak Rasa-7 V862;Minuman;31724;33457;34;17;pcs;MIN-0862;8990000000862
Biskuit 150g Rasa-8 V863;Snack;31808;33594;87;23;kg;SNA-0863;8990000000863
Kecap Asin Rasa-9 V864;Bumbu;31892;33731;140;4;ml;BUM-0864;8990000000864
Minyak Goreng 2L Rasa-1 V865;Sembako;31976;33868;193;10;pcs;SEM-0865;8990000000865
Susu UHT Vanila V866;Susu;32060;34005;6;16;kg;SUS-0866;8990000000866
Sikat Gigi Rasa-3 V867;Perawatan;32144;34142;59;22;ml;PER-0867;8990000000867
Tali Rasa-4 V868;Lain-lain;32228;34279;112;3;pcs;LAI-0868;8990000000868
Pemutih Rasa-5 V869;Rumahan;32312;34416;165;9;kg;RUM-0869;8990000000869
Otak-otak Rasa-6 V870;Beku;32396;34553;218;15;ml;BEK-0870;8990000000870
Indomie Goreng V871;Makanan;32480;34690;31;21;pcs;MAK-0871;8990000000871
Teh Kotak Rasa-8 V872;Minuman;32564;34827;84;2;kg;MIN-0872;8990000000872
Biskuit 150g Rasa-9 V873;Snack;32648;34964;137;8;ml;SNA-0873;8990000000873
Kecap Asin Rasa-1 V874;Bumbu;32732;35101;190;14;pcs;BUM-0874;8990000000874
Minyak Goreng 2L Rasa-2 V875;Sembako;32816;35238;3;20;kg;SEM-0875;8990000000875
Susu UHT Vanila V876;Susu;32900;35375;56;1;ml;SUS-0876;8990000000876
Sikat Gigi Rasa-4 V877;Perawatan;32984;35512;109;7;pcs;PER-0877;8990000000877
Tali Rasa-5 V878;Lain-lain;33068;35649;162;13;kg;LAI-0878;8990000000878
Pemutih Rasa-6 V879;Rumahan;33152;35786;215;19;ml;RUM-0879;8990000000879
Otak-otak Rasa-7 V880;Beku;33236;35923;28;25;pcs;BEK-0880;8990000000880
Indomie Goreng V881;Makanan;33320;36060;81;6;kg;MAK-0881;8990000000881
Teh Kotak Rasa-9 V882;Minuman;33404;36197;134;12;ml;MIN-0882;8990000000882
